,2019_tract,2020_tract
474,48453001403,48453001403
475,48453001501,48453001501
476,48453001503,48453001503
477,48453001504,48453001504
478,48453001505,48453001505
479,48453001602,48453001602
480,48453001603,48453001603
481,48453001604,48453001604
482,48453001605,48453001605
483,48453001606,48453001606
484,48453001911,48453001911
485,48453001913,48453001913
486,48453001914,48453001914
487,48453001916,48453001916
488,48453001918,48453001918
489,48453001908,48453001921
490,48453001901,48453001922
491,48453001901,48453001923
492,48453002004,48453002004
493,48453002005,48453002006
494,48453002105,48453002105
495,48453002106,48453002106
496,48453002107,48453002107
497,48453002112,48453002112
498,48453002201,48453002201
499,48453002211,48453002211
500,48453002208,48453002213
501,48453002207,48453002215
502,48491021602,48491021602
